atom_diff,reaction_class,delta_mass,count
<2H>,Redox reaction,2.01565006446,1743
<O>,Redox reaction,15.99491461957,1583
<2H+O>,Lytic reaction,18.01056468403,787
<2H+C>,Transfer reaction,14.01565006446,713
<10H+6C+5O>,Transfer reaction,162.05282342015,655
<>,Isomerazation,0.0,545
<H+3O+P>,Transfer reaction,79.96633088936001,416
<2H+2C+O>,Transfer reaction,42.01056468403,333
<C+2O>,Lytic reaction,43.98982923914,254
<2O>,Redox reaction,31.98982923914,232
<3H+N-O>,Transfer reaction,1.0316344815500005,200
<34H+21C+7N+15O+3P+S>,Ligation reaction,749.1046455900399,178
<-2H+O>,Redox reaction,13.97926455511,169
<4H+7O+2P>,Lytic reaction,177.94322646275,165
<-H-N+O>,Hydrolysis,0.9840155829100006,151
<10H+6C+4O>,Transfer reaction,146.05790880057998,104
<2H+6O+2P>,Lytic reaction,159.93266177872002,101
<C+O>,Hydrolysis,27.99491461957,95
<2H+C+2O>,Redox reaction,46.0054793036,93
<2H+2O>,Redox reaction,34.0054793036,92
<7H+5C+N+3O>,Ligation reaction,129.04259308875,84
<3O+S>,Transfer reaction,79.95681503311,83
<8H+6C+6O>,Transfer reaction,176.03208797526003,81
<2H+C+O>,Redox reaction,30.01056468403,78
<8H+5C>,Transfer reaction,68.06260025784,72
<-2H+2O>,Redox reaction,29.97417917468,69
<12H+10C+5N+6O+P>,Transfer reaction,329.05252012475,63
<8H+5C+4O>,Transfer reaction,132.04225873612,59
<-H+Cl>,Redox reaction,33.96102764977,59
<3H+2C+N+O>,Hydrolysis,57.02146372069,57
<13H+8C+N+5O>,Transfer reaction,203.07937252127,54
<4H+2C+2O>,Transfer reaction,60.02112936806,53
<4H+2C>,Transfer reaction,28.03130012892,52
<5H+3C+N+2O>,Lytic reaction,87.03202840472,52
<6H+9C+2O>,Transfer reaction,146.03677943252,50
<4H>,Redox reaction,4.03130012892,45
<5H+3C+N+O>,Hydrolysis,71.03711378515,43
<9H+5C+7O+P>,Transfer reaction,212.00858962548,41
<2H+3C+3O>,Transfer reaction,86.00039392317001,41
<2H+2C+2O>,Redox reaction,58.0054793036,40
<4H+3C+3O>,Lytic reaction,88.01604398763001,39
<H+Cl>,Isomerazation,35.97667771423,38
<H+C+N+O>,Hydrolysis,43.00581365623,35
<2H+3C+2O>,Hydrolysis,70.0054793036,34
<20H+12C+10O>,Hydrolysis,324.1056468403,33
<3H+N>,Lytic reaction,17.02654910112,33
<H>,Redox reaction,1.00782503223,32
<10H+6C+3O>,Transfer reaction,130.06299418101,31
<6H+9C+3O>,Transfer reaction,162.03169405209002,30
<12H+9C+3N+7O+P>,Transfer reaction,305.04128673546,28
<4H+2C+O>,Lytic reaction,44.026214748490005,28
<3H+C>,Transfer reaction,15.02347509669,28
<4H+3C+O>,Transfer reaction,56.026214748490005,27
<C>,Redox reaction,12.0,27
<6H+4C+O>,Hydrolysis,70.04186481295,27
<8H+5C+O>,Transfer reaction,84.05751487741,27
<-H+I>,Redox reaction,125.89664686777,26
<30H+16C+O>,Transfer reaction,238.22966558647,26
<-H-O+Cl>,Hydrolysis,17.9661130302,26
<4H+3C+2O>,Redox reaction,72.02112936806,26
<4H+7C+O>,Transfer reaction,104.02621474849,26
<7H+4C+N+2O>,Transfer reaction,101.04767846918,24
<16H+10C>,Transfer reaction,136.12520051568,23
<2H+C+2N>,Hydrolysis,42.02179807332,22
<4H+5C+2O>,Hydrolysis,96.02112936806,22
<17H+10C+3N+6O+S>,Transfer reaction,307.08380645302003,22
<34H+21C+7N+16O+3P+S>,Redox reaction,765.0995602096099,22
<12H+7C+3O>,Transfer reaction,144.07864424547,22
<5H+4C+N+3O>,Hydrolysis,115.02694302429,22
<6H+3C+2O>,Lytic reaction,74.03677943252,21
<4H+4C+4O>,Lytic reaction,116.0109586072,20
<4H+4C+3O>,Transfer reaction,100.01604398763,19
<2H+C+3O>,Lytic reaction,62.00039392317001,19
<4H+7C+2O>,Hydrolysis,120.02112936806,19
<3H+4O+P>,Lytic reaction,97.97689557339,18
<4H+7C+4O>,Transfer reaction,152.0109586072,18
<13H+8C+N+4O>,Transfer reaction,187.0844579017,17
<11H+6C+N+O>,Hydrolysis,113.08406397853,17
<-H+N>,Redox reaction,12.9952489722,17
<8H+10C+3O>,Transfer reaction,176.04734411655,17
<11H+6C+N+4O>,Transfer reaction,161.06880783724,17
<12H+8C+7O>,Transfer reaction,220.05830272375,17
<11H+6C+8O+P>,Hydrolysis,242.01915430951,17
<H-N+2O>,Hydrolysis,18.99458026694,17
<7H+10C+N+O>,Transfer reaction,157.05276384961002,17
<15H+10C+3N+5O+S>,Hydrolysis,289.07324176899,16
<10H+11C+4O>,Transfer reaction,206.05790880058,16
<9H+5C+N+O>,Redox reaction,99.06841391407,16
<7H+3C+6O+P>,Lytic reaction,169.99802494145,16
<7H+3C+N>,Transfer reaction,57.05784923004,15
<12H+6C+2N+O>,Hydrolysis,128.09496301519,15
<12H+7C+6O>,Others,192.06338810418,15
<2H+2C>,Others,26.01565006446,14
<6H+6C+6O>,Ligation reaction,174.0164379108,14
<5H+7C+N+O>,Transfer reaction,119.03711378515,14
<8H+5C+2N+3O>,Others,144.05349212541,14
<2H+3O+S>,Lytic reaction,81.97246509757,14
<32H+18C+O>,Hydrolysis,264.24531565093,14
<15H+8C+N+2O>,Transfer reaction,157.11027872702002,14
<3H>,Redox reaction,3.02347509669,14
<4H+5C+4O>,Others,128.0109586072,14
<4H+2O>,Hydrolysis,36.02112936806,14
<6H+4C+2O>,Hydrolysis,86.03677943252,13
<5H+2C+N>,Transfer reaction,43.04219916558,13
<7H+3C+5O+P>,Hydrolysis,154.00311032188,13
<H+O>,Others,17.0027396518,13
<6H>,Redox reaction,6.04695019338,13
<6H+3C+O>,Lytic reaction,58.04186481295,12
<12H+10C+5N+7O+P>,Transfer reaction,345.04743474432,12
<5H+N>,Redox reaction,19.04219916558,12
<5H+3C+N+O+S>,Ligation reaction,103.00918495955,12
<-H-N+2O>,Redox reaction,16.97893020248,12
<7H+9C+N+4O>,Others,193.03750770832,12
<11H+9C+2N+8O+P>,Transfer reaction,306.02530231837,12
<2O+S>,Hydrolysis,63.96190041354,12
<6H+3C>,Transfer reaction,42.04695019338,12
<10H+6C+O>,Others,98.07316494187,12
<30H+20C+O>,Hydrolysis,286.22966558647,12
<6H+8C+3O>,Redox reaction,150.03169405209002,11
<4H+4C+2O>,Hydrolysis,84.02112936806,11
<-H+O>,Redox reaction,14.98708958734,11
<-O+S>,Redox reaction,15.97715655483,11
<4H+C>,Redox reaction,16.03130012892,11
<18H+11C+9O>,Hydrolysis,294.09508215627,11
<3H+C+N-O>,Hydrolysis,13.031634481549997,11
<9H+6C+2O-P>,Transfer reaction,82.08649253079,11
<6H+8C+2O>,Transfer reaction,134.03677943252,11
<26H+14C+O>,Transfer reaction,210.19836545755,11
<17H+11C+N+8O>,Transfer reaction,291.09541650890003,11
<15H+10C+3N+6O+S>,Redox reaction,305.06815638856,11
<34H+18C+O>,Transfer reaction,266.26096571539,11
<34H+20C+7N+14O+3P+S>,Redox reaction,721.1097309704699,11
<5H+3C+N+2O+S>,Redox reaction,119.00409957912,11
<H+N>,Redox reaction,15.01089903666,11
<3O>,Redox reaction,47.98474385871,10
<-H+Br>,Redox reaction,77.91051256777,10
<22H+12C+O>,Transfer reaction,182.16706532863,10
<18H+10C+O>,Transfer reaction,154.13576519971002,10
<4H+7C+3O>,Others,136.01604398762998,10
<24H+15C>,Transfer reaction,204.18780077352,10
<8H+5C+3O>,Transfer reaction,116.04734411655,10
<16H+10C+3N+6O+S-Cl>,Transfer reaction,271.10712873879004,10
<5H+C+N-O>,Redox reaction,15.04728454601,10
<9H+9C+N+O>,Transfer reaction,147.06841391407002,10
<-2H+C+O>,Lytic reaction,25.97926455511,10
