SMILES1,SMILES2,score
C(CC(=O)O)[C@@H](C(=O)O)N,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.9805999994277954
C(C(=O)O)N,CCCCC,0.0333000011742115
CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,0.9905999898910522
C(CS(=O)(=O)O)N,C(CS(=O)(=O)O)NC(=O)CO,0.9905999898910522
C(CCNCCCN)CN,C(CCNCCCN)CNCCCN,0.9902999997138977
C(CCNCCCN)CNCCCN,CCCCCC,0.0333000011742115
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O,0.9805999994277954
COCOCOCOCOCOCOCOCOCOCOC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,0.002199999988079071
ABCDE,C(C(=O)O)N,ERROR
C(C(=O)O)N,TiO2,ERROR
